trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
123,False,"{'a': 0.5, 'e': 0.2952301669240142}",20,0,18.113266664368698,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.2922925776808594}",20,16,8.173885099065268,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.2893842179390506}",20,5,-27.222474741030965,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
126,False,"{'a': 0.5, 'e': 0.2865047968601901}",25,17,12.678215107108233,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.2836540264997704}",20,6,21.111692639968,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.2808316217783798}",20,10,17.706849559640048,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.27803730045319414}",20,13,13.606281778842565,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.27527078308975234}",25,14,-23.662616927355717,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
131,False,"{'a': 0.5, 'e': 0.2725317930340126}",25,12,-20.283254298648117,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
132,False,"{'a': 0.5, 'e': 0.2698200563846868}",20,15,9.080577187103037,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.26713530196585034}",20,7,26.31872835520272,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.26447726129982396}",20,12,12.3840518879894,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.261845668580326}",20,8,16.23406601580883,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.2592402606458915}",20,14,13.490036224536883,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.2566607769535559}",30,15,-23.906294198731164,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
138,False,"{'a': 0.5, 'e': 0.25410695955280027}",25,14,-5.669463029899188,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.25157855305975646}",25,17,-9.005924394875288,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24907530463166816}",20,5,18.9673709199892,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.24659696394160643}",20,13,1.910119639200912,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.2441432831534371}",20,12,3.1475351488502006,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.24171401689703645}",35,16,-9.573265571142032,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
